first_name,last_name,gender,past_3_years_bike_related_purchases,dob,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,rank,value
Aurie,Rhead,Female,78,28/07/1962,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,127,1.25
Farris,Skettles,Male,38,03/07/1965,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,132,1.248
Sharline,Abyss,Female,11,18/03/1960,Graphic Designer,Manufacturing,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,133,1.238
Nowell,Preddy,Male,29,23/07/1985,Graphic Designer,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,133,1.238
Lacy,Drance,Female,27,05/02/1978,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,133,1.238
Padraig,Snel,Male,89,08/11/1970,Staff Accountant II,Manufacturing,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,133,1.238
Malorie,Votier,Female,90,29/05/1990,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,133,1.238
Shepperd,Ricards,Male,28,27/09/1967,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,133,1.238
Daryl,Pauncefort,Female,12,18/06/1979,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,133,1.238
Norina,Blakeway,Female,60,11/02/1980,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,133,1.238
My,Chaston,Male,92,16/07/1966,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,133,1.238
Isak,Bergstram,Male,14,08/03/2001,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,142,1.235
Grannie,Cracker,Male,28,06/03/1949,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,142,1.235
Welby,Lourenco,Male,6,27/12/1975,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,144,1.234
Glenn,Casbourne,Female,4,08/08/1981,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,144,1.234
Nadiya,Balasini,Female,40,05/11/1950,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,146,1.225
Tyne,Coate,Female,82,15/07/1965,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,146,1.225
Christie,Anders,Male,38,02/10/1969,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,146,1.225
Agnella,Capener,Female,58,21/05/1969,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,146,1.225
Bernardine,Delmonti,Female,39,31/03/1971,Staff Accountant I,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,146,1.225
Daisy,Spowart,Female,60,18/12/1967,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,146,1.225
Denys,Minshall,Female,30,26/12/1961,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,152,1.222
Archibald,Blessed,Male,61,10/02/1969,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,153,1.219
Feodor,Englishby,Male,54,14/08/1961,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,154,1.203
Skippie,Yearsley,Male,6,04/09/1956,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,155,1.2
Bill,Yearsley,Female,74,24/04/1963,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,155,1.2
Tessa,Friese,Female,89,24/10/1976,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,157,1.195
Roseanne,Caruth,Female,16,25/05/1957,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,158,1.188
Tedra,Goodbanne,Female,4,15/01/1978,Senior Quality Engineer,Health,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,158,1.188
Roberto,Harme,Male,27,11/06/1951,Environmental Tech,Health,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,158,1.188
Nichole,Leisman,Male,37,07/08/1986,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,158,1.188
Amil,Ennor,Female,23,04/08/1995,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,158,1.188
Shawna,Hinrichsen,Female,60,27/08/1969,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,163,1.182
Fonsie,Levane,Male,96,10/07/1951,Account Representative III,Manufacturing,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,163,1.182
Emilie,Brody,Female,3,22/05/1979,Director of Sales,Manufacturing,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,163,1.182
Robert,Corkill,Male,55,12/03/1976,Clinical Specialist,Health,Mass Customer,N,No,4,5612 Toban Point,2227,NSW,Australia,10,166,1.175
Elvira,Kurten,Female,65,18/03/1973,Assistant Professor,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,166,1.175
Juliana,Mitchenson,Female,55,05/01/1989,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,166,1.175
Regine,Bownes,Female,99,01/07/1952,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9,166,1.175
Abner,Fraschetti,Male,33,23/01/1986,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,166,1.175
Alvira,Coulman,Female,42,05/06/1955,Account Representative II,Argiculture,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,Australia,9,166,1.175
Sawyer,Sponton,Male,36,22/02/1956,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,166,1.175
Feodor,Vickers,Male,60,18/11/1989,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,173,1.172
Paten,Cayet,Male,56,19/02/1995,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,174,1.169
